fips,county_name,population
08049,"Grand County, Colorado",15724
08051,"Gunnison County, Colorado",17018
08053,"Hinsdale County, Colorado",911
08055,"Huerfano County, Colorado",6896
08057,"Jackson County, Colorado",1440
08059,"Jefferson County, Colorado",580519
08061,"Kiowa County, Colorado",1347
08063,"Kit Carson County, Colorado",7039
08065,"Lake County, Colorado",7403
08067,"La Plata County, Colorado",55983
08069,"Larimer County, Colorado",359363
08071,"Las Animas County, Colorado",14422
08073,"Lincoln County, Colorado",5583
08075,"Logan County, Colorado",21302
08077,"Mesa County, Colorado",156131
08079,"Mineral County, Colorado",794
08081,"Moffat County, Colorado",13232
08083,"Montezuma County, Colorado",26070
08085,"Montrose County, Colorado",42823
08087,"Morgan County, Colorado",29045
08089,"Otero County, Colorado",18580
08091,"Ouray County, Colorado",4936
08093,"Park County, Colorado",17597
08095,"Phillips County, Colorado",4493
08097,"Pitkin County, Colorado",17325
08099,"Prowers County, Colorado",11968
08101,"Pueblo County, Colorado",168135
08103,"Rio Blanco County, Colorado",6511
08105,"Rio Grande County, Colorado",11442
08107,"Routt County, Colorado",24944
08109,"Saguache County, Colorado",6454
08111,"San Juan County, Colorado",690
08113,"San Miguel County, Colorado",8082
08115,"Sedgwick County, Colorado",2391
08117,"Summit County, Colorado",30955
08119,"Teller County, Colorado",24758
08121,"Washington County, Colorado",4817
08123,"Weld County, Colorado",331466
08125,"Yuma County, Colorado",9938
09110,"Capitol Planning Region, Connecticut",977165
09120,"Greater Bridgeport Planning Region, Connecticut",326381
09130,"Lower Connecticut River Valley Planning Region, Connecticut",175244
09140,"Naugatuck Valley Planning Region, Connecticut",451887
09150,"Northeastern Connecticut Planning Region, Connecticut",95687
09160,"Northwest Hills Planning Region, Connecticut",112696
09170,"South Central Connecticut Planning Region, Connecticut",571298
09180,"Southeastern Connecticut Planning Region, Connecticut",280293
09190,"Western Connecticut Planning Region, Connecticut",620666
10001,"Kent County, Delaware",182400
10003,"New Castle County, Delaware",570567
