country_name,iso3,year,region,peer_rank,peer_name,peer_iso3,distance,similarity_pct,shared_vars
Brazil,BRA,1940,Latin America,1,Peru,PER,8.888,91.1,3
Brazil,BRA,1940,Latin America,2,Bolivia,BOL,9.893,90.1,3
Brazil,BRA,1940,Latin America,3,Colombia,COL,12.619,87.4,3
Brazil,BRA,1950,Latin America,1,Colombia,COL,8.149,91.9,4
Brazil,BRA,1950,Latin America,2,Peru,PER,12.906,87.1,4
Brazil,BRA,1950,Latin America,3,Jamaica,JAM,12.997,87.0,3
Brazil,BRA,1960,Latin America,1,Colombia,COL,8.526,91.5,4
Brazil,BRA,1960,Latin America,2,Peru,PER,14.492,85.5,4
Brazil,BRA,1960,Latin America,3,Cuba,CUB,18.564,81.4,3
Brazil,BRA,1970,Latin America,1,Colombia,COL,6.455,93.5,4
Brazil,BRA,1970,Latin America,2,Peru,PER,10.005,90.0,4
Brazil,BRA,1970,Latin America,3,Chile,CHL,19.335,80.7,4
Brazil,BRA,1980,Latin America,1,Peru,PER,8.574,91.4,4
Brazil,BRA,1980,Latin America,2,Colombia,COL,9.184,90.8,4
Brazil,BRA,1980,Latin America,3,Uruguay,URY,22.971,77.0,3
Brazil,BRA,1990,Latin America,1,Colombia,COL,8.936,91.1,4
Brazil,BRA,1990,Latin America,2,Peru,PER,12.415,87.6,4
Brazil,BRA,1990,Latin America,3,Venezuela,VEN,16.734,83.3,3
Brazil,BRA,2000,Latin America,1,Colombia,COL,5.071,94.9,4
Brazil,BRA,2000,Latin America,2,Venezuela,VEN,8.894,91.1,3
Brazil,BRA,2000,Latin America,3,Uruguay,URY,10.684,89.3,3
Canada,CAN,1850,Anglo-Pacific,1,Australia,AUS,31.012,69.0,2
Canada,CAN,1870,Anglo-Pacific,1,Australia,AUS,44.992,55.0,3
Canada,CAN,1880,Anglo-Pacific,1,Australia,AUS,56.824,43.2,2
Canada,CAN,1890,Anglo-Pacific,1,Australia,AUS,41.614,58.4,3
Canada,CAN,1900,Anglo-Pacific,1,Australia,AUS,21.198,78.8,2
Canada,CAN,1910,Anglo-Pacific,1,Australia,AUS,16.478,83.5,3
Canada,CAN,1920,Anglo-Pacific,1,Australia,AUS,13.001,87.0,2
Canada,CAN,1930,Anglo-Pacific,1,Australia,AUS,10.576,89.4,3
Canada,CAN,1940,Anglo-Pacific,1,Australia,AUS,8.78,91.2,3
Canada,CAN,1950,Anglo-Pacific,1,Australia,AUS,2.66,97.3,4
Canada,CAN,1960,Anglo-Pacific,1,Australia,AUS,2.567,97.4,4
Canada,CAN,1970,Anglo-Pacific,1,Australia,AUS,5.373,94.6,4
Canada,CAN,1980,Anglo-Pacific,1,Australia,AUS,8.562,91.4,4
Canada,CAN,1990,Anglo-Pacific,1,Australia,AUS,10.173,89.8,4
Canada,CAN,2000,Anglo-Pacific,1,Australia,AUS,3.176,96.8,4
Chile,CHL,1820,Latin America,1,Brazil,BRA,1.544,98.5,2
Chile,CHL,1820,Latin America,2,Peru,PER,15.539,84.5,2
