country_name,iso3,year,scheme,peer_rank,peer_name,peer_iso3,distance,similarity_pct,shared_vars
Australia,AUS,1980,B,2,United Kingdom,GBR,11.061,88.9,5
Australia,AUS,1980,B,3,Germany,DEU,13.305,86.7,4
Australia,AUS,1980,B,4,Netherlands,NLD,15.452,84.5,5
Australia,AUS,1980,B,5,Denmark,DNK,16.796,83.2,5
Australia,AUS,1990,B,1,Japan,JPN,10.058,89.9,5
Australia,AUS,1990,B,2,United Kingdom,GBR,10.643,89.4,5
Australia,AUS,1990,B,3,Germany,DEU,14.631,85.4,4
Australia,AUS,1990,B,4,Netherlands,NLD,16.426,83.6,5
Australia,AUS,1990,B,5,France,FRA,19.327,80.7,5
Australia,AUS,2000,B,1,Japan,JPN,11.834,88.2,5
Australia,AUS,2000,B,2,United Kingdom,GBR,12.94,87.1,5
Australia,AUS,2000,B,3,Germany,DEU,14.473,85.5,4
Australia,AUS,2000,B,4,Canada,CAN,16.359,83.6,5
Australia,AUS,2000,B,5,Denmark,DNK,17.938,82.1,5
Belgium,BEL,1820,B,1,Italy,ITA,13.262,86.7,2
Belgium,BEL,1820,B,2,United States,USA,13.79,86.2,2
Belgium,BEL,1820,B,3,Denmark,DNK,16.56,83.4,2
Belgium,BEL,1820,B,4,France,FRA,20.671,79.3,2
Belgium,BEL,1820,B,5,Netherlands,NLD,25.2,74.8,2
Belgium,BEL,1850,B,1,Italy,ITA,9.865,90.1,3
Belgium,BEL,1850,B,2,France,FRA,12.472,87.5,4
Belgium,BEL,1850,B,3,Denmark,DNK,13.282,86.7,4
Belgium,BEL,1850,B,4,Uruguay,URY,14.751,85.2,2
Belgium,BEL,1850,B,5,Netherlands,NLD,21.728,78.3,5
Belgium,BEL,1860,B,1,Uruguay,URY,15.281,84.7,2
Belgium,BEL,1860,B,2,France,FRA,15.498,84.5,3
Belgium,BEL,1860,B,3,Switzerland,CHE,19.613,80.4,2
Belgium,BEL,1860,B,4,Denmark,DNK,19.673,80.3,3
Belgium,BEL,1860,B,5,United States,USA,21.43,78.6,2
Belgium,BEL,1870,B,1,United States,USA,15.54,84.5,4
Belgium,BEL,1870,B,2,Netherlands,NLD,16.42,83.6,5
Belgium,BEL,1870,B,3,Australia,AUS,18.12,81.9,4
Belgium,BEL,1870,B,4,Uruguay,URY,22.169,77.8,3
Belgium,BEL,1870,B,5,Denmark,DNK,23.066,76.9,5
Belgium,BEL,1880,B,1,Netherlands,NLD,13.37,86.6,4
Belgium,BEL,1880,B,2,United Kingdom,GBR,16.789,83.2,4
Belgium,BEL,1880,B,3,Switzerland,CHE,18.155,81.8,4
Belgium,BEL,1880,B,4,Denmark,DNK,18.856,81.1,4
Belgium,BEL,1880,B,5,France,FRA,19.106,80.9,4
Belgium,BEL,1890,B,1,Netherlands,NLD,14.633,85.4,5
Belgium,BEL,1890,B,2,United States,USA,17.128,82.9,5
Belgium,BEL,1890,B,3,Switzerland,CHE,19.002,81.0,5
Belgium,BEL,1890,B,4,France,FRA,19.451,80.5,5
Belgium,BEL,1890,B,5,Denmark,DNK,20.72,79.3,5
Belgium,BEL,1900,B,1,Ireland,IRL,10.113,89.9,2
Belgium,BEL,1900,B,2,Australia,AUS,12.093,87.9,3
Belgium,BEL,1900,B,3,Switzerland,CHE,14.587,85.4,4
Belgium,BEL,1900,B,4,Denmark,DNK,14.745,85.3,4
Belgium,BEL,1900,B,5,Netherlands,NLD,15.199,84.8,4
Belgium,BEL,1910,B,1,Netherlands,NLD,14.798,85.2,5
Belgium,BEL,1910,B,2,Germany,DEU,14.845,85.2,3
Belgium,BEL,1910,B,3,Denmark,DNK,14.913,85.1,5
Belgium,BEL,1910,B,4,France,FRA,17.401,82.6,5
Belgium,BEL,1910,B,5,Canada,CAN,17.958,82.0,4
Belgium,BEL,1920,B,1,Ireland,IRL,5.702,94.3,2
Belgium,BEL,1920,B,2,Denmark,DNK,6.567,93.4,4
Belgium,BEL,1920,B,3,Switzerland,CHE,14.203,85.8,4
Belgium,BEL,1920,B,4,France,FRA,14.204,85.8,4
Belgium,BEL,1920,B,5,Netherlands,NLD,14.474,85.5,4
Belgium,BEL,1930,B,1,Denmark,DNK,9.614,90.4,4
Belgium,BEL,1930,B,2,France,FRA,11.088,88.9,4
Belgium,BEL,1930,B,3,Sweden,SWE,13.363,86.6,4
Belgium,BEL,1930,B,4,Canada,CAN,13.521,86.5,4
Belgium,BEL,1930,B,5,United Kingdom,GBR,16.994,83.0,4
Belgium,BEL,1940,B,1,Argentina,ARG,11.061,88.9,4
Belgium,BEL,1940,B,2,France,FRA,14.255,85.7,4
Belgium,BEL,1940,B,3,Norway,NOR,15.503,84.5,4
Belgium,BEL,1940,B,4,Sweden,SWE,15.717,84.3,4
Belgium,BEL,1940,B,5,Denmark,DNK,16.34,83.7,4
Belgium,BEL,1950,B,1,Norway,NOR,7.923,92.1,5
Belgium,BEL,1950,B,2,Argentina,ARG,9.947,90.1,5
Belgium,BEL,1950,B,3,Finland,FIN,11.128,88.9,5
Belgium,BEL,1950,B,4,Netherlands,NLD,11.552,88.4,5
Belgium,BEL,1950,B,5,Sweden,SWE,12.353,87.6,5
Belgium,BEL,1960,B,1,Finland,FIN,5.828,94.2,5
Belgium,BEL,1960,B,2,France,FRA,7.258,92.7,5
Belgium,BEL,1960,B,3,Norway,NOR,12.191,87.8,5
Belgium,BEL,1960,B,4,Argentina,ARG,13.674,86.3,5
